time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-02-15T07:12:22.562Z,-46.2069,95.6035,10,5,mb,44,44,17.328,0.39,us,us7000lzck,2024-02-15T07:57:00.040Z,"southeast Indian Ridge",earthquake,11.16,1.834,0.092,38,reviewed,us,us
2024-02-15T06:45:33.560Z,-1.7939,-77.7185,163.654,4.8,mb,82,108,1.188,0.7,us,us7000lzcf,2024-02-16T19:15:03.876Z,"29 km ESE of Palora, Ecuador",earthquake,7.67,4.264,0.03,341,reviewed,us,us
2024-02-15T06:38:56.044Z,26.1448,-110.7808,10,5.1,mww,76,181,1.754,0.95,us,us7000lzcc,2024-02-18T04:53:40.638Z,"58 km ENE of Loreto, Mexico",earthquake,9.37,1.934,0.043,51,reviewed,us,us
2024-02-15T06:29:42.681Z,37.534,137.6025,10,5,mb,72,101,0.724,0.77,us,us7000lzc9,2024-02-15T19:20:42.173Z,"59 km NNW of Itoigawa, Japan",earthquake,3.39,1.861,0.05,128,reviewed,us,us
2024-02-15T03:52:40.279Z,41.2749,78.8255,10,5,mb,61,112,1.265,0.65,us,us7000lzbd,2024-02-15T04:09:19.040Z,"115 km WNW of Aykol, China",earthquake,5.48,1.601,0.071,64,reviewed,us,us
2024-02-15T03:52:32.867Z,17.4467,40.4214,10,4.5,mb,34,127,6.333,1.1,us,us7000lzbe,2024-02-15T04:17:23.040Z,"196 km W of Ad Darb, Saudi Arabia",earthquake,11.69,1.871,0.1,29,reviewed,us,us
2024-02-15T03:48:18.485Z,37.8175,137.7551,10,4.8,mww,92,90,0.455,0.71,us,us7000lzbc,2024-02-15T06:51:43.592Z,"57 km WSW of Sado, Japan",earthquake,2.74,1.829,0.098,10,reviewed,us,us
2024-02-15T03:41:36.627Z,41.2307,78.4559,10,4.5,mb,46,113,1.269,0.87,us,us7000lzbb,2024-02-15T03:55:11.040Z,"128 km SSE of Kyzyl-Suu, Kyrgyzstan",earthquake,6.79,1.942,0.097,31,reviewed,us,us
2024-02-15T01:20:17.125Z,-17.9441,-172.3839,10,5,mww,25,78,2.589,1.27,us,us7000lzam,2024-02-16T01:24:02.562Z,"186 km ENE of Neiafu, Tonga",earthquake,5.79,1.557,0.098,10,reviewed,us,us
2024-02-15T00:10:25.697Z,55.3055,164.4206,10,4.9,mb,77,97,4.09,0.8,us,us7000lza4,2024-02-15T00:26:55.040Z,"159 km SE of Ust’-Kamchatsk Staryy, Russia",earthquake,9.52,1.868,0.037,231,reviewed,us,us
2024-02-14T23:26:54.755Z,-54.801,-129.9355,10,5.2,mww,45,46,33.793,0.58,us,us7000lz9s,2024-02-15T02:20:43.040Z,"Pacific-Antarctic Ridge",earthquake,8.16,1.791,0.098,10,reviewed,us,us
2024-02-14T23:04:49.736Z,-28.0528,-177.5738,95.538,5.1,mb,57,66,1.228,1.03,us,us7000lz9l,2024-02-14T23:21:48.040Z,"Kermadec Islands region",earthquake,10.53,6.638,0.05,133,reviewed,us,us
2024-02-14T21:43:37.842Z,63.0101,-150.6179,109.3,4.7,ml,,,,0.58,ak,ak02422ry0ln,2024-02-17T00:50:40.762Z,"57 km N of Petersville, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2024-02-14T20:45:46.605Z,52.2037,159.7606,43.169,4.5,mb,75,140,1.064,0.87,us,us7000lz8p,2024-02-14T21:19:38.040Z,"122 km SE of Vilyuchinsk, Russia",earthquake,8.28,7.121,0.066,67,reviewed,us,us
2024-02-14T20:20:16.436Z,-19.6795,-177.5216,564.182,4.5,mb,40,94,2.631,0.68,us,us7000lz8n,2024-02-14T20:47:06.040Z,"284 km NW of Houma, Tonga",earthquake,13.19,7.098,0.104,27,reviewed,us,us
2024-02-14T18:58:37.209Z,-16.6622,172.8697,27.931,5.8,mww,150,27,5.069,0.59,us,us7000lz8a,2024-02-15T19:01:57.799Z,"Vanuatu region",earthquake,8.84,3.256,0.04,60,reviewed,us,us
2024-02-14T16:14:41.030Z,-7.5584,128.2145,161.16,4.5,mb,41,106,3.453,0.91,us,us7000lz7r,2024-02-15T01:19:57.040Z,"171 km NE of Lospalos, Timor Leste",earthquake,8.66,5.898,0.091,35,reviewed,us,us
